,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_land,attack_loadmodule,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_perl,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_spy,attack_teardrop,attack_warezclient,attack_warezmaster
duration,1.0,0.011739625129614444,0.03689184467848646,,,,0.02127356160544109,,-0.06453772561566704,0.06208106337226961,,,,,,,,,,-0.09924402933943775,-0.05030930778215411,-0.08751365750361313,-0.08714642085002734,0.17310804822502215,0.1736065794893038,0.08586850992819632,0.0016083055822916023,-0.05009894039802328,0.05429516006412366,-0.13598246269063846,-0.13950479961799703,0.32350454234370807,0.27660170196429407,-0.034260180679810466,-0.07825209137359598,-0.07795549030888642,0.15030354514767125,0.17109902494383206,-0.14693511651891766,0.08931324904177097,-0.053326785265925276,0.092063937583951,0.011867616560071702,-0.010648579245430289,-0.0005516326805373177,-0.011262653323097994,-0.009492078239889807,-0.009685807515119318,-0.008066304692323611,-0.008233773081559795,-0.00675447605748287,-0.006934183504131345,-0.008286616968452743,-0.036550353490979764,-0.0057677406473010465,-0.026909230519470823,-0.02190610652951111,-0.007484960172102819,-0.007370693078531955,-0.015887984178370895,0.002697002063742113,-0.02295770201836876,-0.007803958738488224,-0.0005516326805373195,-0.007228920518871301,-0.09447536810219902,-0.00039006166090276186,-0.008997913069904556,-0.0005516326805373213,-0.008957496513302179,-0.009308018739138576,-0.006943598761410647,-0.0053251056060546025,-0.00791099973858245,-0.007383254521084954,-0.006872970608351234,-0.007007306675021742,-0.007134587209551913,-0.00663485158587641,-0.005950110377770119,-0.006132484363998887,-0.006109221563287605,-0.009812437624735508,-0.005279674443372826,-0.0049072856193064646,0.352710658586582,-0.0008722182372261429,-0.0006482423794816185,-0.004770406043772716,-0.00027017895729598905,0.035888493818690054,-0.0011032916364919873,-0.0006529016044283496,-0.0009586950958954666,-7.203051708721045e-05,-0.03314454111659786,-0.004534006559499793,-0.00547509527784076,-0.0063556928167074886,-0.008057475423036229,-0.007403369635535007,0.09297298761958699,-0.0006756119780238003,-0.001103291636492,-0.008054054349873774,-0.0012335273418378836,-0.009593343317004357,-0.010041115470996334,-0.009323786169654489,-0.008717277222120262,-0.009356027765972332,-0.04331140644466047,-0.003733066341546251,0.020369098118675613,0.49764111852818527,-0.0856183664676349,-0.007462907605258328,-0.004180214756422958,0.0042799767063808804,-0.034730420004619476,-0.006428117893468743,-0.00084522018298926,-0.0008678544482152798,-0.002789412642594243,-0.0012379231523437922,-0.023313164248180553,-0.0016550031495395933,-0.0008908273145643397,0.0002196264975537299,-0.09653847820119699,-0.015161787749172904,-0.009283314547458236,-0.0004915463357826325,-0.0007569930081662029,-0.005534473672722618,0.40887447369209945,-0.00041396070282662226,-0.0238370787478103,-0.020278515135150586,0.0006046181739859177,-0.011691144950114352,0.037013387964303514,-0.0015714820288659868
src_bytes,0.011739625129614444,1.0,0.12782651333213166,,,,0.3799727786055539,,0.16327480645332698,0.6033630100962124,,,,,,,,,,-0.10527050367019657,-0.03608328366614704,-0.10018893625176796,-0.09950720169651794,-0.04466433078124142,-0.0331637684623606,0.119280626355163,-0.035557497033461276,0.011233649040441622,-0.073044700217051,5.495880373360041e-05,0.06803189449665877,-0.03677090082497532,0.01729992366126409,-0.030134717835186797,-0.09958469586782302,-0.09996269188057323,-0.04525066087351169,-0.04717383549852856,-0.24425138402468619,-0.019617003055736146,0.0668889431042404,-0.05743488661792318,0.11759967244266208,-0.013922415375922632,-0.0006683268180694158,-0.0146244203881558,-0.012627761323877825,-0.012840645279030796,-0.011056289836071828,-0.011238194677797509,-0.010808951927744543,-0.009902956743136621,-0.011264611185206741,-0.04460020882620127,-0.009861839116885018,-0.03222831488374807,-0.0039165008340132325,-0.010427449288630725,-0.010307942657285928,-0.019356907372079624,-0.007070949440177612,0.20418967852486344,-0.01077729371052149,-0.0006683268180694176,-0.010154132568991094,0.05278020884547433,-0.00047257654935905905,-0.010902445021910963,-0.0006683268180694193,-0.011902675426111526,-0.012420402533894297,-0.009850563995766016,-0.0081812685272921,-0.009584517867731686,-0.010318978318953034,-0.009798697849523511,-0.009918815240092351,-0.010053947096188749,-0.009525683907653319,-0.008815215620833502,-0.009003834238298208,-0.008979289393274779,-0.011891302303077497,-0.008139223115659294,-0.005843578380737842,-0.009996885660223304,-0.0010115663805120895,-0.004174283359412023,-0.007320332404021417,-0.003925525334906492,-0.07604702078413145,-0.0012185328769251805,-0.00417490725443547,-0.004383924424436031,-0.0006928416744405789,0.03858289262294195,-0.0074041379080024014,-0.008259082637955691,-0.009237823204058547,-0.011046097723625296,-0.010340762151780605,-0.01609268480370058,-0.0008177380153401907,-0.0006811657952245117,-0.012116486454520821,-0.001435389714545283,-0.010108320215138206,-0.01323903078303959,-0.012438567917118561,-0.0117673459905342,-0.01247482106215534,-0.0524807224034958,-0.01613777198384214,0.007541180544953534,0.018268134217245467,-0.1037277931901706,0.04195536024394797,0.01152587059736487,0.031067132376476528,0.11734551188848814,-0.007787942465142433,0.0009327139728776871,-0.0010500680533657425,-0.003022170886496025,-0.0009901155540691807,-0.028496047420253547,-0.0020051077970022584,-0.0012086015571055298,-0.0007218607121471496,-0.11693103957298033,-0.01770563245316327,0.004409560350504217,-0.0006073077866089475,-0.0008983423331564244,0.002845091942116496,-0.022114082990487595,-0.001066671972285956,-0.028784439036351497,-0.002928062924191017,-0.0005550458484938286,-0.013779091281308628,0.0479953930933444,-0.0020123722375175045
dst_bytes,0.03689184467848646,0.12782651333213166,1.0,,,,0.12700199530763787,,0.4219991416660423,0.23736265379393065,,,,,,,,,,-0.23721376140251543,-0.08753086625757144,-0.20177616035321863,-0.20217222878040692,-0.11867329913652996,-0.11390372203931974,0.26859647465080094,-0.11256928242544419,0.012878969546114883,-0.20926717918101292,0.3232533705841834,0.3113206204903011,-0.13136971166850103,-0.08087887865651433,-0.015250127736239402,-0.20883164629393658,-0.20873083196612796,-0.12073089190872723,-0.10938056063612837,0.09895220532790813,-0.2637880642320778,0.16228352591650738,-0.12282810238645354,0.08608350924246319,-0.029283844292513492,-0.001405729960977672,-0.030632832963399474,-0.026560727833142807,-0.027008498217082594,-0.023255367224758447,-0.023637977400934315,-0.02273453717888287,-0.02310489344684165,-0.022836034522052358,-0.09188734500038273,-0.020743080681726592,-0.06857300682626256,-0.055823506045556685,-0.021932693470168338,-0.021681595438562823,-0.04028882165702799,0.009723708002906492,-0.07688963445908678,-0.0226570061008333,-0.0014057299609776764,-0.02135781197946993,0.4210408145154223,-0.0009939972425593655,-0.022931735194292993,-0.0014057299609776801,-0.024039001526225987,-0.026124578848901996,-0.020719300244088735,-0.01720818518466054,-0.020159663751211435,-0.021704540743657495,-0.019612193100996957,-0.020862856666123974,-0.021147086599612987,-0.02003596297709994,-0.018541598307362742,-0.01893924427604999,-0.018886703099191944,-0.025011655182065422,-0.01712143450397484,-0.012431146807307721,-0.06469363044148105,-0.0015112263684210316,-0.008756768454228129,0.004317793595613255,-0.008248021098823081,-0.16055204605933787,-0.0028115268798110235,-0.00878143019081139,-0.009221062733159152,-0.007992467811792497,-0.06426033858016868,-0.015573607816343961,-0.015521744965813192,-0.019431382317185584,-0.02323392961054557,-0.021750359830407212,0.10631236801852885,-0.0017216673939229848,-0.002811526879810959,-0.025477082927033358,-0.0031434075668207236,-0.024446793314569653,-0.027846456530169195,-0.02616278708340884,-0.0247509697568677,-0.0262390402875726,-0.11038570032167073,-0.0335351558780961,-0.010092056878705775,-0.021514171769565136,-0.2181819663698787,0.13705118089167626,0.04357881589862565,0.008654186100373006,0.26037502467270435,-0.01638082411423482,0.01418871794893574,0.004816781264847243,-0.006072029793964407,0.004679182221421034,-0.06014614374882483,-0.0042174577303036006,0.003705607104392353,0.02149514689240069,-0.24600593913761445,-0.03863098516749179,0.28952032861040194,0.0014134667648113284,0.010050035650369509,-0.014103543416626813,-0.05337679395771587,0.006872838832603081,-0.060373903207852186,-0.05167590190967935,-0.0001556724372438267,-0.02979124435446008,-0.011540952394860051,0.06496190264419212
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,0.02127356160544109,0.3799727786055539,0.12700199530763787,,,,1.0,,0.16893712537462083,0.42362996071792314,,,,,,,,,,-0.10053984962719083,-0.049882645037279016,-0.08228560282391088,-0.08235484116743377,-0.03547625229192459,-0.028680483137004283,0.10362500991206931,-0.030139850099575212,-0.017070260159729313,-0.043161083651000125,-0.03905821361071408,0.013809084188059335,-0.028852186127292512,-0.03869744803870622,-0.03427884705538204,-0.08573338919997398,-0.08529538684177065,-0.03599365960061805,-0.03702303804707041,-0.24228800398373676,0.024818918053453317,0.06702102444465488,-0.05173279956036007,-0.0024516044741590324,-0.011682875139168526,-0.0005608200702559049,-0.012301533782012486,-0.01059647988086663,-0.010775119182262103,-0.009277796620159692,-0.009430440066511619,-0.00907034721371703,-0.009217764667334429,-0.00914430360608479,-0.039141481712791984,-0.008275597816783112,-0.02735740118907163,-0.022270950645903134,-0.008750112065824014,-0.00864993577333872,-0.01486909302912207,0.66320070728203,-0.021344820979514463,-0.008691502293460183,-0.0005608200702559063,-0.008520761417440527,0.013662071816037378,-0.00039655810068856673,-0.009148682677154317,-0.0005608200702559083,-0.008850310177967138,-0.01042247697079562,-0.008266025297249553,-0.006865255697848236,-0.008042756685236052,-0.008659089869767572,-0.008227625380320005,-0.00832329755075937,-0.00843669191218947,-0.007993405900409957,-0.007397224754432861,-0.007555866774085676,-0.0075349053182480925,-0.009978472826080144,-0.006830646260625234,-0.005143390877161404,-0.025165442621851525,-0.0008867449488365571,-0.00350337720136027,-0.005956656543833338,-0.0032949484200104416,-0.06448113198625868,-0.0011216668535437495,-0.0035033772013602403,-0.0036787698871040275,-0.003197966091973301,-0.030599386878146766,-0.00621313628659203,-0.006547335402216325,-0.006930420154451329,-0.00926924402140851,-0.008677369528139469,0.015412535428811727,-0.0006868642311256271,-0.0011216668535437432,-0.008597932927904782,-0.0012540716221494492,-0.00975311953561365,-0.01110966918107678,-0.010437720257454658,-0.009874471614942811,-0.010468141695784467,-0.04403869728051574,-7.107417084104065e-05,-0.004026255543280974,0.00609951841186308,-0.08669126941175512,0.0050060728640276666,0.06875863141787304,0.005233300932620244,0.09807593517277609,-0.005561204955368336,0.08263884022263915,0.010203967714796683,0.05872582485749815,0.008343361995541127,-0.024137385917901863,-0.001682567069257868,0.02016619403542049,0.026192801205426084,-0.09814634874772399,-0.01541430587907494,-0.006636074740401359,-0.0006868642311256337,0.03124009776733426,-0.005626649804254712,-0.020525896114047197,0.003810946344680117,-0.022771476954056243,-0.020616251871994166,-0.0005608200702559097,-0.01188585985498285,0.27017687539453494,0.003598880589174961
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,-0.06453772561566704,0.16327480645332698,0.4219991416660423,,,,0.16893712537462083,,1.0,0.12549306733072993,,,,,,,,,,-0.5397616874257493,-0.20105343177223406,-0.4919311600753386,-0.49017311728498997,-0.28751760802314374,-0.2835348071395382,0.6005436530967884,-0.22132605467854036,0.13107231805801037,-0.4010873377003288,0.6243625941198688,0.6040563177099108,-0.25606710285875334,-0.16099391017075868,-0.05283408463331416,-0.4914842905222071,-0.49327005638425797,-0.2759743117093881,-0.272809021873248,0.3074743299511532,-0.611576334545006,0.3853548692236651,-0.29745123077937297,0.010867639354816175,-0.06717373926637765,-0.0032245813402918787,-0.04228360121175577,-0.060927226233235036,-0.0619543595126472,-0.05334511271456132,-0.05422277604176717,-0.05189938245108137,-0.05275100913571815,-0.045797078018451655,-0.2250541631023495,-0.047305663814515474,-0.15729851706787434,-0.12805264235741445,-0.05031105266978823,-0.04973506293507509,-0.09652518408297477,0.06842151257149351,0.09097738403820883,-0.05073296829513432,-0.0032245813402918917,-0.0489923412677081,0.6995552924956867,-0.0022801142819985913,-0.05260273840688653,-0.003224581340291901,-0.05701122789491978,-0.05992675109561029,-0.04752766947111739,-0.03947357912763741,-0.046243928324259276,-0.04978769680126026,-0.04647093028925789,-0.04785697123790235,-0.04850896170927709,-0.045960173108781685,-0.04253227403613638,-0.04314116645651547,-0.043323904365622945,-0.05737383340240492,-0.0375981689960684,-0.029573268019373496,-0.13038673234236153,-0.005098571479996573,-0.019491001781829647,0.029294447720644823,-0.018251355437397566,-0.37049386922103056,-0.006449316274131665,-0.02014358142773883,-0.02115204744325571,-0.0169578839988773,0.28087111582795393,-0.03572404840164372,-0.035353068756484286,-0.04457333526027617,-0.05329593731623575,-0.049892800467158986,-0.011531453023109582,-0.003949305134516673,-0.0064493162741315535,-0.05778439579089953,-0.007210612042339007,-0.056078105852782105,-0.06325711730501384,-0.06001439635000293,-0.05677585129978694,-0.06018931234817473,-0.25321198194050915,-0.07058138405653726,-0.023150006900049164,-0.09341912493641794,-0.5004478139751711,0.05271851648633051,0.033627996796664894,0.019435992360622115,0.641746610546158,-0.037575708879839124,0.01907143759246025,0.005773361898533092,-0.015811320630552617,-0.005825307214065334,-0.13634812978727773,-0.009674358431649478,0.00852436958746323,0.0026782681275417312,-0.5642834439148771,-0.08862857402470549,0.6901809127951138,0.0060302717411419415,0.006963185664613642,-0.032351891327422055,-0.12458052854845221,0.001899706703122907,-0.13412262833334174,-0.11853851996212195,0.0008495476876232307,-0.06834085285894406,0.10423310893757468,-0.007620860590150948
num_compromised,0.06208106337226961,0.6033630100962124,0.23736265379393065,,,,0.42362996071792314,,0.12549306733072993,1.0,,,,,,,,,,-0.07176323881773815,-0.034837881337103686,-0.06037821524343621,-0.060296181768102,-0.020827024552734656,-0.008850780218591781,0.07667916687552423,-0.030726093894069044,-0.00473124543690455,-0.03713336288657738,-0.0043962868466176225,0.05949927163767123,-0.027770904464455057,-0.03417915230293234,-0.016598669750210387,-0.04681277548804,-0.050796272890144,-0.022846820024280574,-0.020500549564777076,-0.27875502732928403,0.02559841139569428,0.04835936454971147,-0.03732806733180549,-0.002445467681473274,-0.00842983858461267,-0.00040466260325066694,0.0011387697755383033,-0.007645944503962042,-0.007774842609752994,-0.006694441821654039,-0.006804582484668505,-0.006544755636536544,-0.006651125457641766,-0.006840908916357961,-0.028242737243264777,-0.005971300125665856,-0.019739873393423313,-0.01606971886923688,-0.006313688320169552,-0.006241405601609636,-0.01211324142523571,-0.012067968452267123,-0.02367429990152728,-0.006525807538897024,-0.00040466260325066846,-0.006148199181398781,0.08551294136440198,-0.0002861385351126101,-0.006601278992676292,-0.00040466260325066966,-0.005087460385347143,-0.00752039181015341,-0.005964393025011676,-0.004953660523249549,-0.005803292410833768,-0.006248010786922578,-0.004581122085949525,-0.006005718113803021,-0.006087538397926152,-0.005767683098472403,-0.005337505529346043,-0.005451974493747212,-0.005436849647585176,-0.0072000183381902,-0.004928687905994158,-0.0037112401147450214,-0.01922715695070326,-0.000639835374029748,-0.0025278798203933117,-0.002927185298400147,-0.0023774869622795037,-0.04652669209609789,-0.0008093444814267667,-0.0025278798203933416,-0.0026544353139793383,-0.002307508865178076,-0.022172695070851883,-0.004483120411393714,-0.005052328456703159,-0.005593644562973102,-0.006688270650080873,-0.006261200568343809,0.18606015395477732,-0.0004956104151554994,-0.0008093444814267659,-0.007336582144225366,-0.0009048818225250408,-0.007037413513563043,-0.008016238880354,-0.007531390681964146,-0.0071249757299238076,-0.0075533414270997756,-0.03177634829860883,-0.00923862784945206,-0.002905165374614711,0.011668037485373187,-0.0628072851432859,0.019502414975816108,-0.0007378047254814829,0.002001571099536893,0.07302245362185875,-0.004715490964457593,0.09055625439704934,0.009100719963975028,-0.002083550061444458,0.00750238016796427,-0.016942419220235413,-0.0012140649140445997,0.017828228034168447,0.020431455509323317,-0.07081800222606043,-0.011122271607508857,-0.04994569623179708,-0.0004956104151555084,-0.0005722838847375836,-0.00405993807662873,-0.015674533380781067,0.025686822597488192,-0.01608532670842467,-0.014875762466891778,-0.00040466260325067134,-0.008576303249267003,-0.008566614675264593,-0.0012797469456973323
